File path,Total lines
module-info.java,43
ChartColor.java,149
ChartElement.java,48
ChartElementVisitor.java,47
ChartFactory.java,1870
ChartHints.java,93
ChartRenderingInfo.java,231
ChartTheme.java,51
ChartTransferable.java,231
ChartUtils.java,630
Drawable.java,43
JFreeChart.java,1504
package-info.java,4
StandardChartTheme.java,1644
AbstractAnnotation.java,198
AbstractXYAnnotation.java,186
Annotation.java,57
CategoryAnnotation.java,60
CategoryLineAnnotation.java,390
CategoryPointerAnnotation.java,480
CategoryTextAnnotation.java,246
package-info.java,4
TextAnnotation.java,314
XYAnnotation.java,64
XYAnnotationBoundsInfo.java,64
XYBoxAnnotation.java,342
XYDataImageAnnotation.java,335
XYDrawableAnnotation.java,270
XYImageAnnotation.java,272
XYLineAnnotation.java,331
XYPointerAnnotation.java,494
XYPolygonAnnotation.java,321
XYShapeAnnotation.java,272
XYTextAnnotation.java,583
XYTitleAnnotation.java,359
HorizontalAlignment.java,48
Layer.java,37
LengthAdjustmentType.java,47
package-info.java,4
PublicCloneable.java,53
RectangleAlignment.java,128
RectangleAnchor.java,152
RectangleEdge.java,107
RectangleInsets.java,483
Rotation.java,67
SortOrder.java,44
TableOrder.java,44
UnitType.java,44
VerticalAlignment.java,48
XYCoordinateType.java,53
Axis.java,1536
AxisCollection.java,127
AxisLabelLocation.java,47
AxisLocation.java,81
AxisSpace.java,342
AxisState.java,175
CategoryAnchor.java,48
CategoryAxis.java,1296
CategoryLabelPosition.java,229
CategoryLabelPositions.java,366
CategoryLabelWidthType.java,45
CategoryTick.java,132
CompassFormat.java,140
CyclicNumberAxis.java,1048
DateAxis.java,1670
DateTick.java,120
DateTickMarkPosition.java,53
DateTickUnit.java,317
DateTickUnitType.java,74
ExtendedCategoryAxis.java,230
LogarithmicAxis.java,951
LogAxis.java,965
LogTick.java,72
MarkerAxisBand.java,242
ModuloAxis.java,398
MonthDateFormat.java,230
NumberAxis.java,1024
NumberTick.java,84
NumberTickUnit.java,139
NumberTickUnitSource.java,214
package-info.java,4
PeriodAxis.java,1098
PeriodAxisLabelInfo.java,320
QuarterDateFormat.java,177
StandardTickUnitSource.java,119
SubCategoryAxis.java,397
SymbolAxis.java,681
Tick.java,157
TickType.java,45
TickUnit.java,167
TickUnits.java,195
TickUnitSource.java,74
Timeline.java,133
ValueAxis.java,1523
ValueTick.java,123
AbstractBlock.java,585
Arrangement.java,68
Block.java,101
BlockBorder.java,214
BlockContainer.java,254
BlockFrame.java,60
BlockParams.java,125
BlockResult.java,72
BorderArrangement.java,511
CenterArrangement.java,300
ColorBlock.java,175
ColumnArrangement.java,356
EmptyBlock.java,111
EntityBlockParams.java,54
EntityBlockResult.java,53
FlowArrangement.java,411
GridArrangement.java,408
LabelBlock.java,383
LengthConstraintType.java,52
LineBorder.java,214
package-info.java,4
RectangleConstraint.java,320
Size2D.java,149
MonthConstants.java,65
package-info.java,4
SerialDate.java,856
SpreadsheetDate.java,405
EncoderUtil.java,178
ImageEncoder.java,95
ImageEncoderFactory.java,143
ImageFormat.java,52
package-info.java,4
SunJPEGEncoderAdapter.java,156
SunPNGEncoderAdapter.java,117
AxisEntity.java,191
CategoryItemEntity.java,175
CategoryLabelEntity.java,117
ChartEntity.java,371
EntityCollection.java,95
FlowEntity.java,104
JFreeChartEntity.java,190
LegendItemEntity.java,154
NodeEntity.java,88
package-info.java,4
PieSectionEntity.java,211
PlotEntity.java,190
StandardEntityCollection.java,190
TickLabelEntity.java,57
TitleEntity.java,190
XYAnnotationEntity.java,101
XYItemEntity.java,153
AnnotationChangeEvent.java,66
AnnotationChangeListener.java,50
AxisChangeEvent.java,62
AxisChangeListener.java,55
ChartChangeEvent.java,115
ChartChangeEventType.java,47
ChartChangeListener.java,52
ChartProgressEvent.java,115
ChartProgressEventType.java,45
ChartProgressListener.java,49
MarkerChangeEvent.java,63
MarkerChangeListener.java,50
package-info.java,6
PlotChangeEvent.java,64
PlotChangeListener.java,50
RendererChangeEvent.java,87
RendererChangeListener.java,49
TitleChangeEvent.java,61
TitleChangeListener.java,50
DynamicDriveToolTipTagFragmentGenerator.java,86
ImageMapUtils.java,239
OverLIBToolTipTagFragmentGenerator.java,69
package-info.java,4
StandardToolTipTagFragmentGenerator.java,65
StandardURLTagFragmentGenerator.java,66
ToolTipTagFragmentGenerator.java,61
URLTagFragmentGenerator.java,62
Args.java,114
ArrayUtils.java,188
CloneUtils.java,174
HashUtils.java,192
LineUtils.java,151
package-info.java,4
PaintUtils.java,201
SerialUtils.java,634
ShapeUtils.java,489
AbstractCategoryItemLabelGenerator.java,286
AbstractPieItemLabelGenerator.java,213
AbstractXYItemLabelGenerator.java,315
BoxAndWhiskerToolTipGenerator.java,133
BoxAndWhiskerXYToolTipGenerator.java,142
BubbleXYItemLabelGenerator.java,242
CategoryItemLabelGenerator.java,77
CategorySeriesLabelGenerator.java,56
CategoryToolTipGenerator.java,61
CrosshairLabelGenerator.java,50
CustomXYToolTipGenerator.java,169
FlowLabelGenerator.java,54
HighLowItemLabelGenerator.java,198
IntervalCategoryItemLabelGenerator.java,122
IntervalCategoryToolTipGenerator.java,141
IntervalXYItemLabelGenerator.java,247
IntervalXYToolTipGenerator.java,243
ItemLabelAnchor.java,92
ItemLabelPosition.java,170
MultipleXYSeriesLabelGenerator.java,212
package-info.java,4
PieSectionLabelGenerator.java,85
PieToolTipGenerator.java,54
StandardCategoryItemLabelGenerator.java,133
StandardCategorySeriesLabelGenerator.java,144
StandardCategoryToolTipGenerator.java,119
StandardCrosshairLabelGenerator.java,137
StandardFlowLabelGenerator.java,115
StandardPieSectionLabelGenerator.java,230
StandardPieToolTipGenerator.java,129
StandardXYItemLabelGenerator.java,173
StandardXYSeriesLabelGenerator.java,151
StandardXYToolTipGenerator.java,174
StandardXYZToolTipGenerator.java,231
SymbolicXYItemLabelGenerator.java,156
XYItemLabelGenerator.java,54
XYSeriesLabelGenerator.java,57
XYToolTipGenerator.java,53
XYZToolTipGenerator.java,53
LegendGraphic.java,683
LegendItem.java,983
LegendItemBlockContainer.java,170
LegendItemCollection.java,142
LegendItemSource.java,50
LegendRenderingOrder.java,45
LegendTitle.java,617
package-info.java,4
PaintScaleLegend.java,662
CategoryCrosshairState.java,157
CategoryMarker.java,174
CategoryPlot.java,4523
CenterTextMode.java,47
CombinedDomainCategoryPlot.java,613
CombinedDomainXYPlot.java,691
CombinedRangeCategoryPlot.java,515
CombinedRangeXYPlot.java,646
Crosshair.java,674
CrosshairState.java,324
DatasetRenderingOrder.java,60
DefaultDrawingSupplier.java,463
DialShape.java,48
DrawingSupplier.java,88
FastScatterPlot.java,974
IntervalMarker.java,197
Marker.java,603
MeterInterval.java,198
MeterPlot.java,1163
package-info.java,4
Pannable.java,80
Plot.java,1319
PlotOrientation.java,65
PlotRenderingInfo.java,264
PlotState.java,61
PolarAxisLocation.java,62
PolarPlot.java,1841
RingPlot.java,630
SeriesRenderingOrder.java,58
SpiderWebPlot.java,1281
ThermometerPlot.java,1444
ValueAxisPlot.java,53
ValueMarker.java,135
WaferMapPlot.java,389
XYCrosshairState.java,52
XYPlot.java,4981
Zoomable.java,151
ArrowNeedle.java,156
CompassPlot.java,776
LineNeedle.java,110
LongNeedle.java,161
MeterNeedle.java,376
MiddlePinNeedle.java,132
package-info.java,4
PinNeedle.java,130
PlumNeedle.java,120
PointerNeedle.java,140
ShipNeedle.java,119
WindNeedle.java,109
AbstractDialLayer.java,193
ArcDialFrame.java,467
DialBackground.java,242
DialCap.java,305
DialFrame.java,59
DialLayer.java,102
DialLayerChangeEvent.java,62
DialLayerChangeListener.java,51
DialPlot.java,752
DialPointer.java,562
DialScale.java,63
DialTextAnnotation.java,361
DialValueIndicator.java,690
package-info.java,4
StandardDialFrame.java,322
StandardDialRange.java,391
StandardDialScale.java,918
FlowPlot.java,755
package-info.java,4
AbstractPieLabelDistributor.java,96
MultiplePiePlot.java,574
package-info.java,4
PieLabelDistributor.java,198
PieLabelLinkStyle.java,48
PieLabelRecord.java,253
PiePlot.java,2921
PiePlotState.java,239
AbstractRenderer.java,2774
AreaRendererEndType.java,58
DefaultPolarItemRenderer.java,840
GrayPaintScale.java,203
LookupPaintScale.java,344
NotOutlierException.java,57
Outlier.java,196
OutlierList.java,156
OutlierListCollection.java,157
package-info.java,4
PaintScale.java,73
PolarItemRenderer.java,182
RendererState.java,103
RendererUtils.java,247
WaferMapRenderer.java,344
AbstractCategoryItemRenderer.java,1542
AreaRenderer.java,299
BarPainter.java,84
BarRenderer.java,1200
BoxAndWhiskerRenderer.java,1012
CategoryItemRenderer.java,1439
CategoryItemRendererState.java,186
CategoryStepRenderer.java,324
DefaultCategoryItemRenderer.java,52
GanttRenderer.java,555
GradientBarPainter.java,340
GroupedStackedBarRenderer.java,332
IntervalBarRenderer.java,220
LayeredBarRenderer.java,428
LevelRenderer.java,403
LineAndShapeRenderer.java,774
MinMaxCategoryRenderer.java,493
package-info.java,4
ScatterRenderer.java,534
StackedAreaRenderer.java,438
StackedBarRenderer.java,346
StandardBarPainter.java,202
StatisticalBarRenderer.java,518
StatisticalLineAndShapeRenderer.java,426
WaterfallBarRenderer.java,429
AbstractXYItemRenderer.java,1524
CandlestickRenderer.java,818
ClusteredXYBarRenderer.java,328
CyclicXYItemRenderer.java,437
DefaultXYItemRenderer.java,52
DeviationRenderer.java,342
DeviationStepRenderer.java,282
GradientXYBarPainter.java,339
HighLowRenderer.java,448
package-info.java,4
SamplingXYLineRenderer.java,333
StackedXYAreaRenderer.java,609
StackedXYAreaRenderer2.java,493
StackedXYBarRenderer.java,374
StandardXYBarPainter.java,202
StandardXYItemRenderer.java,902
VectorRenderer.java,314
WindItemRenderer.java,157
XYAreaRenderer.java,649
XYAreaRenderer2.java,392
XYBarPainter.java,80
XYBarRenderer.java,1084
XYBlockRenderer.java,484
XYBoxAndWhiskerRenderer.java,733
XYBubbleRenderer.java,311
XYDifferenceRenderer.java,1057
XYDotRenderer.java,336
XYErrorRenderer.java,415
XYItemRenderer.java,1327
XYItemRendererState.java,182
XYLineAndShapeRenderer.java,1078
XYShapeRenderer.java,562
XYSplineRenderer.java,463
XYStepAreaRenderer.java,565
XYStepRenderer.java,316
YIntervalRenderer.java,277
AbstractOverlay.java,101
ApplicationFrame.java,114
ChartFrame.java,83
ChartMouseEvent.java,96
ChartMouseListener.java,59
ChartPanel.java,2750
CrosshairOverlay.java,567
DefaultSelectionZoomStrategy.java,239
MouseWheelHandler.java,139
NumberCellRenderer.java,78
Overlay.java,78
OverlayChangeEvent.java,50
OverlayChangeListener.java,48
package-info.java,4
PolarChartPanel.java,215
SelectionZoomStrategy.java,160
UIUtils.java,181
ChartEditor.java,52
ChartEditorFactory.java,50
ChartEditorManager.java,81
DefaultAxisEditor.java,443
DefaultChartEditor.java,233
DefaultChartEditorFactory.java,58
DefaultLogAxisEditor.java,148
DefaultNumberAxisEditor.java,151
DefaultPlotEditor.java,561
DefaultPolarPlotEditor.java,187
DefaultTitleEditor.java,253
DefaultValueAxisEditor.java,367
FontChooserPanel.java,182
FontDisplayField.java,86
LCBLayout.java,236
package-info.java,4
PaintSample.java,100
StrokeChooserPanel.java,83
StrokeSample.java,146
AttributedStringUtils.java,88
G2TextMeasurer.java,63
package-info.java,4
TextAnchor.java,145
TextBlock.java,272
TextBlockAnchor.java,55
TextBox.java,378
TextFragment.java,268
TextLine.java,222
TextMeasurer.java,44
TextUtils.java,699
HexNumberFormat.java,136
HMSNumberFormat.java,105
LogFormat.java,222
package-info.java,4
RelativeDateFormat.java,501
CompositeTitle.java,223
DateTitle.java,154
ImageTitle.java,330
package-info.java,4
ShortTextTitle.java,223
TextTitle.java,800
Title.java,396
CategoryURLGenerator.java,73
CustomCategoryURLGenerator.java,179
CustomPieURLGenerator.java,204
CustomXYURLGenerator.java,193
package-info.java,4
PieURLGenerator.java,64
StandardCategoryURLGenerator.java,179
StandardPieURLGenerator.java,151
StandardXYURLGenerator.java,140
StandardXYZURLGenerator.java,60
TimeSeriesURLGenerator.java,183
XYURLGenerator.java,66
XYZURLGenerator.java,61
AttrStringUtils.java,299
DefaultShadowGenerator.java,284
DirectionalGradientPaintTransformer.java,125
ExportUtils.java,211
GradientPaintTransformer.java,47
GradientPaintTransformType.java,40
package-info.java,4
PaintAlpha.java,355
ShadowGenerator.java,68
StandardGradientPaintTransformer.java,156
StringUtils.java,87
ComparableObjectItem.java,153
ComparableObjectSeries.java,426
DataUtils.java,247
DefaultKeyedValue.java,149
DefaultKeyedValues.java,413
DefaultKeyedValues2D.java,507
DomainInfo.java,74
DomainOrder.java,47
ItemKey.java,47
KeyedObject.java,135
KeyedObjects.java,315
KeyedObjects2D.java,462
KeyedValue.java,50
KeyedValueComparator.java,151
KeyedValueComparatorType.java,52
KeyedValues.java,89
KeyedValues2D.java,103
KeyedValues2DItemKey.java,141
KeyedValuesItemKey.java,107
KeyToGroupMap.java,287
Range.java,424
RangeInfo.java,70
RangeType.java,53
UnknownKeyException.java,53
Value.java,52
Values.java,59
Values2D.java,69
CategoryDataset.java,65
CategoryRangeInfo.java,62
CategoryToPieDataset.java,302
DefaultCategoryDataset.java,412
DefaultIntervalCategoryDataset.java,742
IntervalCategoryDataset.java,87
SlidingCategoryDataset.java,348
DefaultFlowDataset.java,350
FlowDataset.java,123
FlowDatasetUtils.java,194
FlowKey.java,156
NodeKey.java,140
package-info.java,4
Function2D.java,54
LineFunction2D.java,121
NormalDistributionFunction2D.java,129
PolynomialFunction2D.java,117
PowerFunction2D.java,121
GanttCategoryDataset.java,160
SlidingGanttCategoryDataset.java,617
Task.java,229
TaskSeries.java,184
TaskSeriesCollection.java,633
XYTaskDataset.java,445
AbstractDataset.java,221
AbstractSeriesDataset.java,100
Dataset.java,57
DatasetChangeEvent.java,80
DatasetChangeListener.java,57
DatasetUtils.java,2326
DefaultHeatMapDataset.java,307
DefaultKeyedValueDataset.java,181
DefaultKeyedValues2DDataset.java,57
DefaultKeyedValuesDataset.java,46
DefaultPieDataset.java,323
DefaultValueDataset.java,128
HeatMapDataset.java,141
HeatMapUtils.java,119
KeyedValueDataset.java,47
KeyedValues2DDataset.java,47
KeyedValuesDataset.java,43
PieDataset.java,49
Series.java,221
SeriesChangeEvent.java,58
SeriesChangeListener.java,54
SeriesDataset.java,78
SeriesException.java,58
ValueDataset.java,47
